source_url,title,authors,abstract_url,pdf_url
https://arxiv.org/list/cs.LG/recent,Assessing the Real-World Utility of Explainable AI for Arousal Diagnostics: An Application-Grounded User Study,"Stefan Kraft, Andreas Theissler, Vera Wienhausen-Wilke, Gjergji Kasneci, Hendrik Lensch",https://arxiv.org/abs/2510.21389,https://arxiv.org/pdf/2510.21389
https://arxiv.org/list/cs.LG/recent,Cost-Sensitive Freeze-thaw Bayesian Optimization for Efficient Hyperparameter Tuning,"Dong Bok Lee, Aoxuan Silvia Zhang, Byungjoo Kim, Junhyeon Park, Steven Adriaensen, Juho Lee, Sung Ju Hwang, Hae Beom Lee",https://arxiv.org/abs/2510.21379,https://arxiv.org/pdf/2510.21379
https://arxiv.org/list/cs.LG/recent,Randomized Neural Network with Adaptive Forward Regularization for Online Task-free Class Incremental Learning,"Junda Wang, Minghui Hu, Ning Li, Abdulaziz Al-Ali, Ponnuthurai Nagaratnam Suganthan",https://arxiv.org/abs/2510.21367,https://arxiv.org/pdf/2510.21367
https://arxiv.org/list/cs.LG/recent,FairImagen: Post-Processing for Bias Mitigation in Text-to-Image Models,"Zihao Fu, Ryan Brown, Shun Shao, Kai Rawal, Eoin Delaney, Chris Russell",https://arxiv.org/abs/2510.21363,https://arxiv.org/pdf/2510.21363
https://arxiv.org/list/cs.LG/recent,Compositional Monte Carlo Tree Diffusion for Extendable Planning,"Jaesik Yoon, Hyeonseo Cho, Sungjin Ahn",https://arxiv.org/abs/2510.21361,https://arxiv.org/pdf/2510.21361
https://arxiv.org/list/cs.LG/recent,Robust Yield Curve Estimation for Mortgage Bonds Using Neural Networks,"Sina Molavipour, Alireza M. Javid, Cassie Ye, Björn Löfdahl, Mikhail Nechaev",https://arxiv.org/abs/2510.21347,https://arxiv.org/pdf/2510.21347
https://arxiv.org/list/cs.LG/recent,$α$-LoRA: Effective Fine-Tuning via Base Model Rescaling,"Aymane El Firdoussi, El Mahdi Chayti, Mohamed El Amine Seddik, Martin Jaggi",https://arxiv.org/abs/2510.21345,https://arxiv.org/pdf/2510.21345
https://arxiv.org/list/cs.LG/recent,Weak-to-Strong Generalization under Distribution Shifts,"Myeongho Jeon, Jan Sobotka, Suhwan Choi, Maria Brbić",https://arxiv.org/abs/2510.21332,https://arxiv.org/pdf/2510.21332
https://arxiv.org/list/cs.LG/recent,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,"Vikas Kanaujia, Vipul Arora",https://arxiv.org/abs/2510.21330,https://arxiv.org/pdf/2510.21330
https://arxiv.org/list/cs.LG/recent,Leverage Unlearning to Sanitize LLMs,"Antoine Boutet, Lucas Magnana",https://arxiv.org/abs/2510.21322,https://arxiv.org/pdf/2510.21322
https://arxiv.org/list/cs.LG/recent,A Convergence Analysis of Adaptive Optimizers under Floating-point Quantization,"Xuan Tang, Jichu Li, Difan Zou",https://arxiv.org/abs/2510.21314,https://arxiv.org/pdf/2510.21314
https://arxiv.org/list/cs.LG/recent,Revisiting Social Welfare in Bandits: UCB is (Nearly) All You Need,"Dhruv Sarkar, Nishant Pandey, Sayak Ray Chowdhury",https://arxiv.org/abs/2510.21312,https://arxiv.org/pdf/2510.21312
https://arxiv.org/list/cs.LG/recent,Data as a Lever: A Neighbouring Datasets Perspective on Predictive Multiplicity,"Prakhar Ganesh, Hsiang Hsu, Golnoosh Farnadi",https://arxiv.org/abs/2510.21303,https://arxiv.org/pdf/2510.21303
https://arxiv.org/list/cs.LG/recent,Amortized Variational Inference for Partial-Label Learning: A Probabilistic Approach to Label Disambiguation,"Tobias Fuchs, Nadja Klein",https://arxiv.org/abs/2510.21300,https://arxiv.org/pdf/2510.21300
https://arxiv.org/list/cs.LG/recent,An Evidence-Based Post-Hoc Adjustment Framework for Anomaly Detection Under Data Contamination,"Sukanya Patra, Souhaib Ben Taieb",https://arxiv.org/abs/2510.21296,https://arxiv.org/pdf/2510.21296
https://arxiv.org/list/cs.LG/recent,Additive Models Explained: A Computational Complexity Approach,"Shahaf Bassan, Michal Moshkovitz, Guy Katz",https://arxiv.org/abs/2510.21292,https://arxiv.org/pdf/2510.21292
https://arxiv.org/list/cs.LG/recent,Adaptive Data Selection for Multi-Layer Perceptron Training: A Sub-linear Value-Driven Method,"Xiyang Zhang, Chen Liang, Haoxuan Qiu, Hongzhi Wang",https://arxiv.org/abs/2510.21286,https://arxiv.org/pdf/2510.21286
